DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2024-07-26;WINQ24;0;126860,000;1;105511407;11000250;1;2024-07-26;3.0;3.0
2024-07-26;ACWI11;0;13,260;3;145043100;5360;1;2024-07-26;8.0;85.0
2024-07-26;WINQ24;0;127100,000;1;115320290;17118590;1;2024-07-26;1618.0;120.0
2024-07-26;WINQ24;0;128180,000;2;162704030;31891740;1;2024-07-26;120.0;120.0
2024-07-26;AAZQ11;0;8,020;50;104028123;4400;1;2024-07-26;3.0;90.0
2024-07-26;CPLE6F;0;9,980;1;103410907;4590;1;2024-07-26;120.0;8.0
2024-07-26;WINQ24;0;128185,000;1;171134617;33564650;1;2024-07-26;3.0;1618.0
2024-07-26;BPAC11;0;32,470;100;113803427;35160;1;2024-07-26;8.0;40.0
2024-07-26;WINQ24;0;127040,000;1;111141707;12681470;1;2024-07-26;308.0;120.0
2024-07-26;WINQ24;0;127030,000;45;111154507;12742650;1;2024-07-26;39.0;120.0
2024-07-26;RRRP3;0;25,450;100;113100060;64250;1;2024-07-26;85.0;6003.0
2024-07-26;WINQ24;0;126625,000;1;102605067;7958150;1;2024-07-26;3.0;3.0
2024-07-26;DI1F25;0;10,755;76;95101147;42710;1;2024-07-26;127.0;107.0
2024-07-26;RRRP3;0;25,710;300;164439207;203630;1;2024-07-26;8.0;3.0
2024-07-26;VALEH618;0;1,130;100;153214690;113430;1;2024-07-26;3.0;3.0
2024-07-26;WINQ24;0;126735,000;1;104252840;9751230;1;2024-07-26;308.0;308.0
2024-07-26;WINQ24;0;127025,000;1;90322083;575040;1;2024-07-26;120.0;107.0
2024-07-26;WINQ24;0;128130,000;7;170300700;33332270;1;2024-07-26;1618.0;120.0
2024-07-26;PETR4;0;37,730;100;151011673;197740;1;2024-07-26;1099.0;3.0
2024-07-26;WINQ24;0;127595,000;1;131450287;21882100;1;2024-07-26;308.0;308.0
2024-07-26;VALE3;0;61,410;100;102130763;200970;1;2024-07-26;147.0;3.0
2024-07-26;GGBR4;0;18,010;100;132559743;88970;1;2024-07-26;8.0;3.0
2024-07-26;WINQ24;0;128275,000;2;152616980;29038300;1;2024-07-26;3.0;308.0
2024-07-26;VALET608;0;0,680;100;151916610;72940;1;2024-07-26;3.0;3.0
2024-07-26;KNSC11;0;9,350;6;105242440;11650;1;2024-07-26;59.0;3.0
2024-07-26;INBR32;0;37,890;14;135823103;221940;1;2024-07-26;85.0;120.0
2024-07-26;WINQ24;0;126880,000;1;100029297;4853530;1;2024-07-26;3.0;3.0
2024-07-26;WINQ24;0;128185,000;1;153524867;29476720;1;2024-07-26;3.0;3.0
2024-07-26;DI1F27;0;11,940;1;161455647;387260;1;2024-07-26;92.0;92.0
2024-07-26;ASAI3;0;9,790;400;101451420;8900;1;2024-07-26;39.0;39.0
2024-07-26;WINQ24;0;127155,000;11;113558963;15177160;1;2024-07-26;120.0;1618.0
2024-07-26;WINQ24;0;127175,000;1;114551017;16499760;1;2024-07-26;85.0;120.0
2024-07-26;PETR4;0;37,520;200;103953247;25930;1;2024-07-26;85.0;13.0
2024-07-26;WINQ24;0;128060,000;1;155534567;30534860;1;2024-07-26;120.0;120.0
